Name,Address,City,Rating,Review Count,Coordinates,Price,Id,Categories
Make a Film in a Day,"['Atlanta, GA 30310']",Atlanta,5.0,1,"{'latitude': 33.7410049438477, 'longitude': -84.4203186035156}",,1Xfk4fY3jYgctyYYT6e2RA,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Tyler Perry Studios,"['541 10th St NW', 'Atlanta, GA 30318']",Atlanta,4.5,6,"{'latitude': 33.7816566, 'longitude': -84.4050415}",,IiQ5du4bRMbu-srtdB4UnA,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Prominence Films,"['Atlanta, GA 30309']",Atlanta,5.0,1,"{'latitude': 33.7985877990723, 'longitude': -84.388298034668}",,ZSFrOmkul2XQprE3ZZ8pXQ,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Craig Miller Productions,"['1491 Northside Dr NW', 'Ste B', 'Atlanta, GA 30318']",Atlanta,5.0,1,"{'latitude': 33.795557, 'longitude': -84.407144}",,z_K-bn1VP3ED3bi1Oj661g,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Inertia Films,"['585 Ezzard St SE', 'Atlanta, GA 30312']",Atlanta,5.0,2,"{'latitude': 33.7533417, 'longitude': -84.3680115}",,Lj6fBJeu1p__HcJU1T4Q9w,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
TheLifeAsAlex,"['206 Washington St SW', 'Atlanta, GA 30334']",Atlanta,5.0,1,"{'latitude': 33.7489811, 'longitude': -84.3890809}",,D8hmxEIid5W6cr4ASlApMQ,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'eventphotography', 'title': 'Event Photography'}]"
Magick Lantern,"['514 Flat Shoals Avenue', 'Ste B', 'Atlanta, GA 30316']",Atlanta,5.0,1,"{'latitude': 33.74030167, 'longitude': -84.34534333}",,4GA1ZJaBiGQZEGQP4D6AvQ,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'arts', 'title': 'Arts & Entertainment'}]"
Trove Studio,"['321 W Hill St', 'Ste 2A', 'Atlanta, GA 30030']",Atlanta,5.0,1,"{'latitude': 33.7601812, 'longitude': -84.3022666}",,I8Qq3abrlCM0tf15WcbDrA,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Atlanta Video,"['368 Moreland Ave NE', 'Atlanta, GA 30307']",Atlanta,5.0,1,"{'latitude': 33.7643508911133, 'longitude': -84.349609375}",,cHRtR8SoOwRYcruW92C_0g,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
ECG Productions,"['120 Interstate N Pkwy SE', 'Ste 435', 'Atlanta, GA 30339']",Atlanta,5.0,7,"{'latitude': 33.9041354, 'longitude': -84.4619528}",,jG1sRe0ab5nTHRDhF2QUoA,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'musicproduction', 'title': 'Music Production Services'}, {'alias': 'videographers', 'title': 'Videographers'}]"
DragStar Productions,"['Atlanta, GA 30301']",Atlanta,1.0,1,"{'latitude': 33.7554893493652, 'longitude': -84.3906097412109}",,O1phDwp67sM0eUrV_1vebw,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
House of Shoots,"['325 Fulton Industrial Cir SW', 'Atlanta, GA 30336']",Atlanta,5.0,1,"{'latitude': 33.76598, 'longitude': -84.53436}",,oCQhmk88qFZY3n0fcveCDQ,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
