Name,Address,City,Rating,Review Count,Coordinates,Price
Urban Myth Studio,"['505 Johnson Ave', 'Brooklyn, NY 11237']",Brooklyn,5.0,4,"{'latitude': 40.708663918903, 'longitude': -73.926939086334}",
Hit and Run Productions,"['65 Roebling St', 'Ste 202', 'Brooklyn, NY 11211']",Brooklyn,5.0,4,"{'latitude': 40.7165128, 'longitude': -73.9546435}",
Be Electric Studios,"['1298 Willoughby Ave', 'Brooklyn, NY 11237']",Brooklyn,4.5,4,"{'latitude': 40.7052438, 'longitude': -73.9218072}",
Starr Street Studios,"['207-A Starr St', 'Ste 3-1', 'Brooklyn, NY 11237']",Brooklyn,5.0,8,"{'latitude': 40.705122, 'longitude': -73.923457}",
Subliminal Productions,"['One World Trade Ctr', 'Ste 8500', 'New York, NY 10007']",New York,5.0,2,"{'latitude': 40.71101, 'longitude': -74.00876}",
Chart House,"['1700 Harbor Blvd', 'Weehawken, NJ 07086']",Weehawken,4.0,1526,"{'latitude': 40.7607, 'longitude': -74.018038}",3.0
Firelight Studio,"['247 Water St', 'Street Level', 'Brooklyn, NY 11201']",Brooklyn,5.0,1,"{'latitude': 40.70308, 'longitude': -73.98392}",
Morris-Jumel Mansion,"['65 Jumel Ter', 'New York, NY 10032']",New York,4.5,38,"{'latitude': 40.83449, 'longitude': -73.93851}",
Deverge Studio,"['150 W 28th St', 'Ste 600', 'New York, NY 10001']",New York,5.0,5,"{'latitude': 40.74676, 'longitude': -73.99282}",
Medium Rare NYC,"['22 N 6th St', 'Brooklyn, NY 11249']",Brooklyn,5.0,10,"{'latitude': 40.720062, 'longitude': -73.963532}",
Del Frisco's Double Eagle Steakhouse,"['1221 Ave Of The Americas', 'New York, NY 10020']",New York,4.5,3028,"{'latitude': 40.759412, 'longitude': -73.982221}",4.0
MAMA'S TOO!,"['2750 Broadway', 'New York, NY 10025']",New York,3.5,404,"{'latitude': 40.80084, 'longitude': -73.96766}",2.0
House of Yes,"['2 Wyckoff Ave', 'Brooklyn, NY 11237']",Brooklyn,4.0,296,"{'latitude': 40.70686, 'longitude': -73.92353}",1.0
The Metropolitan Opera,"['30 Lincoln Center Plz', 'New York, NY 10023']",New York,4.5,326,"{'latitude': 40.7728401326152, 'longitude': -73.9845519506313}",
House Productions,"['447 Broadway', 'Fl 2', 'New York, NY 10013']",New York,5.0,1,"{'latitude': 40.7206058, 'longitude': -74.0014893}",
Le JIT Productions,"['544 Park Ave', 'Brooklyn, NY 11205']",Brooklyn,5.0,1,"{'latitude': 40.696704, 'longitude': -73.95333}",
V-Productions,"['469 7th Ave', 'New York, NY 10018']",New York,5.0,1,"{'latitude': 40.7519226, 'longitude': -73.9894887}",
